Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
0	-32.0265	-26.8458	-5.18067	0.01	0.4352519	-2	0.01
10	-31.2302	-25.0139	-6.21635	0.01	1.611828	-2.270407	0.005365287
20	-30.8955	-25.3176	-5.57791	0.01	1.301102	-2.163116	0.006868852
30	-30.578	-25.5839	-4.99414	0.01	0.9653629	-2.151243	0.007059219
40	-30.9162	-25.2512	-5.66497	0.01	1.345071	-2.182933	0.006562469
50	-30.449	-25.6845	-4.76449	0.01	0.7043541	-2.208611	0.006185697
60	-31.8201	-26.9556	-4.86449	0.01	0.5488402	-2.927396	0.001181964
70	-30.596	-25.5777	-5.01827	0.01	0.9822245	-2.148455	0.007104689
80	-32.248	-26.1357	-6.11232	0.01	1.562506	-1.938179	0.01152977
90	-33.2242	-24.5874	-8.63677	0.01	2.763973	-2.224079	0.005969272
100	-33.5182	-24.5775	-8.94071	0.01	2.916074	-2.18722	0.006498007
110	-30.6363	-25.3338	-5.30252	0.01	1.155168	-2.205994	0.006223083
120	-32.2264	-27.4005	-4.82596	0.01	0.575781	-3.050893	0.0008894201
130	-30.9962	-25.894	-5.10222	0.01	0.4553612	-2.502213	0.003146202
140	-31.5023	-26.3136	-5.18871	0.01	0.4333504	-2.100316	0.007937508
150	-31.828	-26.682	-5.14596	0.01	1.064412	-2.900089	0.001258666
160	-32.0953	-25.5541	-6.54127	0.01	1.764495	-2.016027	0.009637702
170	-31.077	-25.8299	-5.24708	0.01	0.4202819	-2.363247	0.004332645
180	-32.1991	-26.6701	-5.52902	0.01	1.276044	-2.913836	0.001219451
190	-30.9971	-25.6107	-5.38643	0.01	1.201042	-2.085529	0.008212409
200	-32.4675	-27.2259	-5.24157	0.01	1.120778	-1.850881	0.01409674
210	-32.0851	-25.3813	-6.70378	0.01	1.840454	-2.044997	0.009015781
220	-31.1963	-26.1827	-5.01365	0.01	0.9790336	-2.74834	0.00178509
230	-31	-25.1637	-5.83637	0.01	1.42974	-2.404961	0.003935854
240	-30.455	-25.4997	-4.95523	0.01	0.9368754	-2.200845	0.006297311
250	-30.7956	-25.2673	-5.52826	0.01	1.27565	-2.426257	0.003747508
260	-31.2219	-25.0129	-6.20897	0.01	1.608338	-2.279573	0.005253238
270	-31.1898	-26.3726	-4.81719	0.01	0.8099214	-2.785521	0.001638623
280	-32.5509	-27.5038	-5.04707	0.01	0.4715689	-1.908331	0.01235007
290	-30.8998	-25.5442	-5.35553	0.01	1.184323	-2.552778	0.002800413
300	-34.1265	-29.3623	-4.76423	0.01	0.6725031	-3.5276	0.0002967562
310	-31.4107	-25.9285	-5.48219	0.01	1.25175	-2.70286	0.001982167
320	-31.5723	-24.9288	-6.64357	0.01	1.812326	-2.250051	0.005622752
330	-30.5982	-25.7269	-4.87131	0.01	0.5447616	-2.406599	0.003921033
340	-30.3846	-25.4923	-4.89233	0.01	0.886045	-2.426738	0.003743362
350	-31.6198	-25.9295	-5.69031	0.01	0.3479083	-2.312059	0.004874619
360	-30.7084	-25.2679	-5.44048	0.01	1.229849	-2.218507	0.006046348
370	-30.4183	-25.3465	-5.07175	0.01	1.017881	-2.339226	0.004579031
380	-34.6215	-24.3436	-10.278	0.01	3.616575	-2.244036	0.005701174
390	-30.5228	-25.7577	-4.76511	0.01	0.666823	-2.189918	0.006457759
400	-31.0291	-26.1514	-4.87769	0.01	0.8729926	-2.723853	0.001888629
410	-31.4054	-24.9992	-6.40617	0.01	1.701202	-2.22608	0.005941822
420	-30.7341	-25.9611	-4.77306	0.01	0.7370614	-2.631228	0.00233761
430	-30.9288	-25.1333	-5.79558	0.01	1.409783	-2.24592	0.005676486
440	-31.5199	-25.9912	-5.52877	0.01	1.275916	-2.725215	0.001882715
450	-31.3106	-25.1673	-6.14331	0.01	1.577229	-2.157808	0.006953313
460	-30.4494	-25.3968	-5.05262	0.01	1.005366	-2.237001	0.005794277
470	-34.7834	-24.7649	-10.0185	0.01	3.4764	-2.044781	0.009020251
480	-30.6991	-25.2035	-5.49554	0.01	1.258706	-2.27246	0.005339982
490	-30.4014	-25.3602	-5.04114	0.01	0.9977313	-2.341426	0.0045559
500	-30.798	-25.386	-5.41198	0.01	1.214725	-2.482703	0.003290769
510	-31.3026	-25.6947	-5.60791	0.01	1.316342	-2.045148	0.009012641
520	-33.8772	-28.4032	-5.47395	0.01	1.247446	-1.739708	0.01820924
530	-30.8588	-25.7791	-5.07976	0.01	1.023056	-2.617048	0.002415192
540	-30.5273	-25.3527	-5.17458	0.01	1.081645	-2.228814	0.005904539
550	-31.1042	-25.1579	-5.94638	0.01	1.483083	-2.19069	0.00644629
560	-31.3765	-26.1179	-5.25857	0.01	1.130475	-2.746948	0.001790822
570	-31.2741	-26.2392	-5.03486	0.01	0.4754499	-2.104305	0.007864924
580	-30.7784	-25.7762	-5.00213	0.01	0.4864717	-2.403996	0.00394461
590	-30.9863	-25.0862	-5.90009	0.01	1.460714	-2.286783	0.005166744
600	-32.3404	-24.7407	-7.59979	0.01	2.261222	-2.259076	0.005507119
610	-31.061	-25.246	-5.81507	0.01	1.419328	-2.459129	0.003474326
620	-30.369	-25.3869	-4.98213	0.01	0.9567518	-2.338828	0.004583232
630	-31.0677	-25.41	-5.65774	0.01	1.341451	-2.1171	0.007636606
640	-30.5921	-25.5004	-5.09168	0.01	1.030674	-2.164722	0.006843497
650	-31.3275	-26.3807	-4.94683	0.01	0.9304758	-2.802518	0.001575732
660	-30.3378	-25.5403	-4.79748	0.01	0.7832989	-2.403977	0.003944779
670	-33.416	-27.6237	-5.79234	0.01	0.3354417	-1.923296	0.01193175
680	-31.0688	-25.0636	-6.00525	0.01	1.511381	-2.327019	0.004709562
690	-30.4551	-25.689	-4.76618	0.01	0.6616217	-2.464146	0.003434426
700	-32.1344	-27.3328	-4.80158	0.01	0.5984706	-1.905045	0.01244387
710	-33.1497	-28.3169	-4.8328	0.01	0.8281461	-3.290368	0.000512427
720	-31.1797	-26.4164	-4.76332	0.01	0.684472	-2.782398	0.001650447
730	-31.6405	-24.9507	-6.6898	0.01	1.833924	-2.375583	0.00421131
740	-30.529	-25.7654	-4.7636	0.01	0.6787456	-2.181174	0.0065891
750	-30.4841	-25.2988	-5.18522	0.01	1.087971	-2.307552	0.004925477
760	-30.4253	-25.3606	-5.06471	0.01	1.013308	-2.366486	0.004300452
770	-30.3898	-25.4227	-4.96708	0.01	0.9457408	-2.394145	0.004035102
780	-32.5083	-27.5152	-4.99313	0.01	0.9646402	-3.104912	0.0007853954
790	-30.8105	-25.4054	-5.40516	0.01	1.211081	-2.15048	0.007071641
800	-31.2223	-25.7381	-5.48421	0.01	1.252808	-2.04549	0.009005553
810	-30.8269	-25.1857	-5.6412	0.01	1.333142	-2.378801	0.004180216
820	-32.1285	-26.3318	-5.79665	0.01	1.410307	-2.835494	0.001460515
830	-30.9274	-26.0336	-4.89376	0.01	0.5323701	-2.1413	0.007222701
840	-31.454	-26.6691	-4.78486	0.01	0.6194787	-2.851757	0.001406834
850	-30.3695	-25.5341	-4.83542	0.01	0.8310367	-2.234092	0.005833216
860	-31.0444	-25.473	-5.5714	0.01	1.297779	-2.544773	0.002852509
870	-30.5326	-25.2976	-5.23501	0.01	1.117013	-2.367648	0.00428896
880	-30.9339	-26.1659	-4.76796	0.01	0.6548289	-2.69276	0.002028805
890	-30.5906	-25.6934	-4.89728	0.01	0.8903302	-2.551822	0.002806582
900	-31.0347	-25.836	-5.19869	0.01	0.4310266	-2.421715	0.003786908
910	-31.9316	-25.3184	-6.61322	0.01	1.798139	-2.066239	0.008585401
920	-30.668	-25.7488	-4.91923	0.01	0.5198405	-2.407645	0.003911602
930	-32.3805	-27.2048	-5.17567	0.01	0.4364485	-2.986547	0.00103146
940	-31.3315	-25.0105	-6.32101	0.01	1.661187	-2.235221	0.005818066
950	-32.1307	-25.0022	-7.12852	0.01	2.039047	-2.130993	0.007396164
960	-32.5041	-26.0362	-6.4679	0.01	1.730145	-1.93704	0.01156005
970	-33.2735	-24.5979	-8.67556	0.01	2.783252	-2.205272	0.006233438
980	-31.4069	-25.0567	-6.35026	0.01	1.674943	-2.409267	0.003897025
990	-31.0538	-26.1032	-4.95055	0.01	0.5061137	-2.63473	0.002318836
1000	-30.8545	-26.0683	-4.78623	0.01	0.7649942	-2.677648	0.002100642
1010	-31.9553	-24.9243	-7.03099	0.01	1.993366	-2.406533	0.003921632
1020	-31.7279	-24.9219	-6.80593	0.01	1.888167	-2.216401	0.006075739
1030	-31.005	-26.2189	-4.78607	0.01	0.6177018	-2.705026	0.001972303
1040	-30.3565	-25.4248	-4.93176	0.01	0.9187325	-2.371138	0.004254634
1050	-30.5153	-25.4238	-5.09154	0.01	1.030586	-2.443143	0.003604602
1060	-30.9167	-25.1144	-5.80235	0.01	1.413102	-2.329641	0.004681219
1070	-30.9289	-25.1711	-5.75773	0.01	1.391164	-2.394565	0.004031207
1080	-30.8744	-25.9032	-4.97124	0.01	0.4978496	-2.530375	0.002948663
1090	-33.1272	-26.9102	-6.21696	0.01	1.612116	-1.84056	0.01443578
1100	-30.6572	-25.8572	-4.80001	0.01	0.7870317	-2.599589	0.002514265
1110	-30.3444	-25.4451	-4.89935	0.01	0.8921046	-2.277247	0.005281446
1120	-31.8137	-26.0797	-5.73405	0.01	0.3424272	-2.566295	0.002714594
1130	-30.6601	-25.7632	-4.89691	0.01	0.530741	-2.273816	0.005323343
1140	-33.1757	-28.4039	-4.77174	0.01	0.64401	-3.303687	0.0004969508
1150	-33.1119	-26.9632	-6.14861	0.01	1.579746	-3.00624	0.0009857354
1160	-30.6594	-25.8421	-4.81726	0.01	0.8099994	-2.598554	0.002520264
1170	-31.5108	-26.1231	-5.38771	0.01	1.201726	-1.980332	0.01046329
1180	-32.6414	-26.3311	-6.31034	0.01	1.656164	-2.854519	0.001397917
1190	-30.6181	-25.4975	-5.12066	0.01	1.048874	-2.496415	0.003188488
1200	-31.3402	-25.2115	-6.1287	0.01	1.570292	-2.140126	0.007242263
1210	-30.8621	-25.1944	-5.66767	0.01	1.346426	-2.220538	0.00601813
1220	-31.5856	-24.953	-6.63257	0.01	1.807186	-2.366202	0.004303264
1230	-31.3742	-25.2437	-6.13049	0.01	1.571141	-2.127367	0.007458178
1240	-32.8123	-27.9957	-4.81664	0.01	0.5837174	-1.841633	0.01440016
1250	-31.5346	-26.0147	-5.51998	0.01	0.3715391	-2.227369	0.005924215
1260	-30.5133	-25.6322	-4.88109	0.01	0.8760797	-2.161279	0.006897972
1270	-32.2167	-26.8822	-5.33449	0.01	1.172827	-1.882116	0.01311851
1280	-32.8358	-27.2933	-5.54247	0.01	1.282963	-3.068869	0.0008533566
1290	-30.4854	-25.6945	-4.79084	0.01	0.611175	-2.263334	0.005453378
1300	-31.3541	-25.9629	-5.39119	0.01	0.3924626	-2.515836	0.003049046
1310	-31.7796	-26.0272	-5.75241	0.01	0.3401897	-2.531188	0.002943148
1320	-30.6299	-25.5588	-5.07119	0.01	1.017518	-2.14516	0.00715879
1330	-32.8591	-24.9128	-7.94633	0.01	2.426758	-2.104164	0.007867478
1340	-32.87	-24.756	-8.11395	0.01	2.507653	-2.412411	0.003868909
1350	-30.4639	-25.6052	-4.85879	0.01	0.8551545	-2.494306	0.00320401
1360	-31.5673	-25.2209	-6.34641	0.01	1.673132	-2.115524	0.007664356
1370	-32.7452	-26.1032	-6.64199	0.01	1.811584	-1.920527	0.01200807
1380	-31.9422	-26.9352	-5.00698	0.01	0.9743993	-2.959566	0.001097575
1390	-31.4295	-26.6662	-4.76332	0.01	0.6842372	-1.974849	0.01059623
1400	-30.6011	-25.8271	-4.77404	0.01	0.7395835	-2.574142	0.002665986
1410	-33.4727	-26.2871	-7.18563	0.01	0.2286569	-2.199937	0.006310486
1420	-30.4909	-25.7137	-4.77727	0.01	0.7472345	-2.518609	0.003029639
1430	-31.5383	-24.9622	-6.57614	0.01	1.780802	-2.363922	0.00432592
1440	-31.4171	-25.4093	-6.00779	0.01	1.512598	-2.557023	0.002773173
1450	-32.1674	-25.9505	-6.21695	0.01	1.612113	-1.961265	0.0109329
1460	-33.4447	-25.8434	-7.60124	0.01	2.261908	-2.770376	0.001696773
1470	-31.1663	-26.2322	-4.93405	0.01	0.5131394	-2.093928	0.008055111
1480	-31.3243	-25.0427	-6.2816	0.01	1.642626	-2.212611	0.006128989
1490	-30.7188	-25.943	-4.77589	0.01	0.634839	-2.133184	0.007358958
1500	-30.8506	-25.5	-5.35058	0.01	1.181627	-2.532267	0.002935844
1510	-30.3706	-25.6058	-4.76475	0.01	0.7061313	-2.264829	0.005434637
1520	-30.5248	-25.7407	-4.78412	0.01	0.761149	-2.15891	0.006935701
1530	-30.3314	-25.4281	-4.90328	0.01	0.8954535	-2.32845	0.004694071
1540	-31.8049	-26.2297	-5.57523	0.01	1.299734	-1.951949	0.01116993
1550	-31.8448	-26.1084	-5.73641	0.01	1.38063	-1.961128	0.01093633
1560	-32.2925	-27.0113	-5.28125	0.01	0.4131675	-1.981157	0.01044344
1570	-30.7611	-25.9406	-4.8205	0.01	0.5803387	-2.153558	0.007021696
1580	-32.108	-27.3419	-4.76607	0.01	0.6620987	-3.041927	0.0009079726
1590	-31.1443	-26.235	-4.90932	0.01	0.9005183	-2.754497	0.001759963
1600	-33.4038	-27.5438	-5.86	0.01	1.441251	-3.135913	0.0007312853
1610	-31.154	-26.0876	-5.06645	0.01	0.4656432	-2.61615	0.002420196
1620	-30.519	-25.7361	-4.78285	0.01	0.6225625	-2.224411	0.005964702
1630	-30.8833	-25.4467	-5.43654	0.01	1.227767	-2.130328	0.007407505
1640	-30.7521	-25.9282	-4.82397	0.01	0.8180716	-2.635206	0.002316293
1650	-31.2122	-26.4448	-4.76737	0.01	0.6569118	-2.015144	0.009657317
1660	-31.1757	-26.3688	-4.80684	0.01	0.5929955	-2.753008	0.001766005
1670	-31.056	-26.1367	-4.91936	0.01	0.908784	-2.724195	0.001887144
1680	-30.3543	-25.5098	-4.84448	0.01	0.8407084	-2.247999	0.005649385
1690	-30.408	-25.6353	-4.77265	0.01	0.641816	-2.302808	0.004979567
1700	-30.3894	-25.4841	-4.90522	0.01	0.8970875	-2.425806	0.003751403
1710	-31.3638	-26.014	-5.34983	0.01	1.181219	-2.001691	0.009961136
1720	-30.9682	-26.1076	-4.86064	0.01	0.5512142	-2.113391	0.007702105
1730	-32.6635	-25.0406	-7.62293	0.01	2.272207	-2.518311	0.003031723
1740	-31.9976	-26.7224	-5.27528	0.01	1.139924	-2.916929	0.001210795
1750	-33.0081	-25.1409	-7.86726	0.01	2.388795	-2.57054	0.002688189
1760	-32.6197	-24.9848	-7.63497	0.01	2.277928	-2.494966	0.003199143
1770	-31.7108	-26.9474	-4.76342	0.01	0.6930617	-2.939122	0.001150478
1780	-32.0688	-25.4377	-6.63109	0.01	1.806491	-2.60901	0.002460308
1790	-32.0256	-27.2484	-4.77716	0.01	0.6323562	-3.015141	0.0009657376
1800	-30.6808	-25.3016	-5.3792	0.01	1.197147	-2.420611	0.003796547
1810	-30.5069	-25.7246	-4.78231	0.01	0.6234129	-2.470513	0.003384438
1820	-30.4774	-25.308	-5.16938	0.01	1.078541	-2.339505	0.004576094
1830	-30.6864	-25.2976	-5.3888	0.01	1.202312	-2.209526	0.006172679
1840	-34.2041	-24.5988	-9.60526	0.01	3.257476	-2.44152	0.003618093
1850	-35.8589	-27.1129	-8.74598	0.01	2.818348	-1.755433	0.01756173
1860	-31.4212	-25.9705	-5.45063	0.01	1.235207	-2.001975	0.009954634
1870	-31.512	-25.5349	-5.97703	0.01	1.497833	-2.054623	0.008818136
1880	-30.3509	-25.5764	-4.77449	0.01	0.7407217	-2.410907	0.003882339
1890	-30.4212	-25.6492	-4.77198	0.01	0.7341373	-2.213077	0.006122425
1900	-30.3663	-25.603	-4.76329	0.01	0.6886546	-2.393643	0.00403977
1910	-32.5011	-25.6929	-6.80822	0.01	1.889232	-2.698735	0.002001081
1920	-31.831	-25.0411	-6.78989	0.01	1.880675	-2.453418	0.003520319
1930	-32.554	-24.7548	-7.79921	0.01	2.356215	-2.374205	0.00422469
1940	-30.4122	-25.5839	-4.82835	0.01	0.8231405	-2.20569	0.006227444
1950	-31.1438	-26.1446	-4.99921	0.01	0.9689513	-2.73504	0.001840604
1960	-33.0143	-26.0368	-6.97757	0.01	0.2399777	-2.348824	0.004478949
1970	-30.9035	-25.9117	-4.9917	0.01	0.9636283	-2.655854	0.002208749
1980	-31.8159	-25.5373	-6.2786	0.01	1.641212	-2.034415	0.009238157
1990	-30.3319	-25.5248	-4.80714	0.01	0.7969846	-2.26967	0.005374398
2000	-30.9978	-25.9247	-5.07306	0.01	1.018735	-2.669367	0.002141081
2010	-31.6621	-26.338	-5.32416	0.01	0.4047183	-2.104382	0.007863542
2020	-30.4064	-25.6314	-4.77502	0.01	0.6366052	-2.327295	0.004706573
2030	-30.3672	-25.4706	-4.89661	0.01	0.8897569	-2.248555	0.005642156
2040	-30.8464	-25.6765	-5.16996	0.01	1.07889	-2.09248	0.008082014
2050	-30.8741	-25.2222	-5.65194	0.01	1.338538	-2.416024	0.003836856
2060	-31.4351	-26.0047	-5.43038	0.01	0.3857617	-2.540796	0.002878747
2070	-31.4498	-26.5428	-4.90697	0.01	0.8985607	-2.846118	0.001425221
2080	-31.7793	-26.6759	-5.10339	0.01	1.038083	-2.896197	0.001269998
2090	-30.6843	-25.8905	-4.7938	0.01	0.6074254	-2.565365	0.002720415
2100	-31.8434	-27.0481	-4.79529	0.01	0.6056231	-2.958792	0.001099533
2110	-31.9904	-26.0811	-5.90929	0.01	1.46517	-2.771292	0.0016932
2120	-30.8396	-25.2579	-5.58175	0.01	1.303056	-2.429719	0.003717757
2130	-31.3813	-25.573	-5.80828	0.01	1.416006	-2.057864	0.008752577
2140	-31.7118	-26.9484	-4.76339	0.01	0.6922261	-2.939318	0.001149957
2150	-30.4219	-25.6486	-4.77338	0.01	0.6401435	-2.405891	0.003927431
2160	-30.8034	-25.1534	-5.65001	0.01	1.337571	-2.284971	0.005188344
2170	-30.671	-25.7238	-4.94716	0.01	0.9307276	-2.575575	0.002657205
2180	-30.743	-25.3138	-5.42915	0.01	1.223854	-2.44062	0.0036256
2190	-30.6327	-25.8055	-4.8272	0.01	0.5747818	-2.212785	0.00612654
2200	-31.4317	-26.651	-4.78077	0.01	0.6259351	-1.988051	0.01027897
2210	-32.308	-25.0465	-7.26151	0.01	2.10147	-2.104156	0.007867631
2220	-31.0147	-25.7758	-5.23888	0.01	1.119237	-2.632484	0.00233086
2230	-31.1737	-25.9223	-5.25139	0.01	0.4193634	-2.50177	0.003149417
2240	-30.9349	-25.2567	-5.67819	0.01	1.351685	-2.177759	0.006641119
2250	-31.0145	-25.1413	-5.87315	0.01	1.447644	-2.216507	0.006074261
2260	-32.0322	-27.2259	-4.80628	0.01	0.5935586	-3.00602	0.0009862342
2270	-30.4894	-25.7034	-4.78599	0.01	0.7645679	-2.172654	0.006719635
2280	-31.1955	-26.4132	-4.78238	0.01	0.6233125	-2.027927	0.009377188
2290	-31.8459	-24.8472	-6.99871	0.01	1.978262	-2.30055	0.005005533
2300	-30.402	-25.399	-5.00305	0.01	0.9716486	-2.384899	0.004121937
2310	-31.9307	-25.954	-5.97668	0.01	0.3154021	-2.434857	0.003674031
2320	-30.8105	-25.1705	-5.63997	0.01	1.332525	-2.357972	0.004385592
2330	-30.3629	-25.3894	-4.97356	0.01	0.9505133	-2.322567	0.004758094
2340	-31.777	-26.6257	-5.15132	0.01	0.4424281	-2.814382	0.001533268
2350	-31.2426	-26.4532	-4.78935	0.01	0.6131361	-2.783962	0.001644515
2360	-33.6039	-25.5085	-8.09536	0.01	2.498651	-2.695746	0.002014903
2370	-32.5121	-27.185	-5.32701	0.01	1.168719	-3.03599	0.0009204711
2380	-30.6312	-25.224	-5.40711	0.01	1.212123	-2.29406	0.005080898
2390	-30.8549	-25.2073	-5.64765	0.01	1.336384	-2.402424	0.003958917
2400	-31.8005	-27.0253	-4.77522	0.01	0.6361966	-1.934861	0.01161822
2410	-31.9729	-26.9074	-5.0655	0.01	1.013823	-2.955382	0.0011082
2420	-31.3916	-26.2798	-5.11173	0.01	0.452756	-2.101914	0.007908355
2430	-31.8175	-26.9247	-4.89286	0.01	0.8865072	-1.910162	0.0122981
2440	-30.708	-25.9208	-4.78726	0.01	0.766809	-2.621469	0.002390732
2450	-32.6487	-26.4492	-6.19953	0.01	1.603872	-1.892887	0.01279713
2460	-30.4032	-25.3537	-5.04952	0.01	1.003313	-2.324069	0.004741663
2470	-31.5439	-24.9212	-6.62268	0.01	1.802561	-2.288979	0.005140684
2480	-32.5561	-24.6913	-7.86477	0.01	2.3876	-2.279548	0.005253538
2490	-31.9567	-24.8213	-7.13535	0.01	2.042247	-2.275621	0.005301259
2500	-30.3723	-25.4444	-4.92791	0.01	0.9156719	-2.255118	0.005557534
2510	-30.6767	-25.5423	-5.13437	0.01	1.057329	-2.522338	0.00300374
